Kσd ADM;Kσd obce;Nαzev obce;Kσd MOMC;Nαzev MOMC;Kσd obvodu Prahy;Nαzev obvodu Prahy;Kσd θαsti obce;Nαzev θαsti obce;Kσd ulice;Nαzev ulice;Typ SO;Θνslo domovnν;Θνslo orientaθnν;Znak θνsla orientaθnνho;PSΘ;Souψadnice Y;Souψadnice X;Platν Od
77532520;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;206;;;78975;564139.47;1086120.49;2017-07-27T00:00:00
77851668;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;207;;;78975;564181.49;1086760.12;2017-12-06T00:00:00
78933340;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;208;;;78975;564154.18;1086770.71;2018-11-30T00:00:00
79913385;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;209;;;78975;564068.90;1086051.36;2019-09-25T00:00:00
81320086;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;210;;;78975;564186.96;1086363.43;2020-11-27T00:00:00
85065030;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;212;;;78975;563946.35;1086913.21;2023-03-28T00:00:00
85843636;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;217;;;78975;563889.95;1085789.51;2023-12-07T00:00:00
86353551;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;219;;;78975;564347.51;1086335.44;2024-07-16T00:00:00
86422600;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;211;;;78975;564148.68;1086346.26;2024-07-26T00:00:00
86836625;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;218;;;78975;564180.57;1086558.14;2025-02-28T00:00:00
87250942;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;215;;;78975;563953.57;1086294.78;2025-08-27T00:00:00
