Kףd ADM;Kףd obce;Nבzev obce;Kףd MOMC;Nבzev MOMC;Kףd obvodu Prahy;Nבzev obvodu Prahy;Kףd טבsti obce;Nבzev טבsti obce;Kףd ulice;Nבzev ulice;Typ SO;ָםslo domovnם;ָםslo orientaטnם;Znak טםsla orientaטnםho;PSָ;Souרadnice Y;Souרadnice X;Platם Od
14693941;546101;ָםmלר;;;;;23876;Dobrב Voda;;;ט.p.;19;;;37833;708662.63;1162185.00;2013-12-01T00:00:00
14693950;546101;ָםmלר;;;;;23876;Dobrב Voda;;;ט.p.;20;;;37833;708807.00;1162381.00;2013-12-01T00:00:00
14693968;546101;ָםmלר;;;;;23876;Dobrב Voda;;;ט.p.;21;;;37833;708854.63;1162464.50;2013-12-01T00:00:00
14693976;546101;ָםmלר;;;;;23876;Dobrב Voda;;;ט.p.;22;;;37833;708800.56;1162494.13;2013-12-01T00:00:00
14693984;546101;ָםmלר;;;;;23876;Dobrב Voda;;;ט.p.;23;;;37833;708806.00;1162413.00;2013-12-01T00:00:00
14693992;546101;ָםmלר;;;;;23876;Dobrב Voda;;;ט.p.;24;;;37833;708872.08;1162546.97;2022-10-22T00:00:00
14694000;546101;ָםmלר;;;;;23876;Dobrב Voda;;;ט.p.;26;;;37833;708879.93;1162566.77;2022-10-22T00:00:00
14694018;546101;ָםmלר;;;;;23876;Dobrב Voda;;;ט.p.;27;;;37833;708896.88;1162606.50;2013-12-01T00:00:00
14694026;546101;ָםmלר;;;;;23876;Dobrב Voda;;;ט.p.;28;;;37833;708885.81;1162638.88;2013-12-01T00:00:00
14694034;546101;ָםmלר;;;;;23876;Dobrב Voda;;;ט.p.;33;;;37833;708892.67;1162724.95;2022-10-22T00:00:00
14694042;546101;ָםmלר;;;;;23876;Dobrב Voda;;;ט.p.;34;;;37833;708867.28;1162769.79;2022-10-22T00:00:00
14694051;546101;ָםmלר;;;;;23876;Dobrב Voda;;;ט.p.;38;;;37833;708878.56;1162406.38;2013-12-01T00:00:00
14694069;546101;ָםmלר;;;;;23876;Dobrב Voda;;;ט.p.;48;;;37833;708927.94;1162775.63;2013-12-01T00:00:00
14694077;546101;ָםmלר;;;;;23876;Dobrב Voda;;;ט.p.;64;;;37833;708660.50;1162736.50;2013-12-01T00:00:00
14694085;546101;ָםmלר;;;;;23876;Dobrב Voda;;;ט.p.;78;;;37833;708784.81;1162228.38;2013-12-01T00:00:00
14694093;546101;ָםmלר;;;;;23876;Dobrב Voda;;;ט.p.;80;;;37833;708919.00;1162746.25;2013-12-01T00:00:00
14694107;546101;ָםmלר;;;;;23884;Potoטnב;;;ט.p.;1;;;37833;710131.86;1164560.82;2013-12-01T00:00:00
14694115;546101;ָםmלר;;;;;23884;Potoטnב;;;ט.p.;2;;;37833;710058.29;1164487.85;2013-12-01T00:00:00
14694131;546101;ָםmלר;;;;;23884;Potoטnב;;;ט.p.;5;;;37833;709989.15;1164468.82;2013-12-01T00:00:00
14694140;546101;ָםmלר;;;;;23884;Potoטnב;;;ט.p.;6;;;37833;709977.55;1164476.10;2013-12-01T00:00:00
14694158;546101;ָםmלר;;;;;23884;Potoטnב;;;ט.p.;7;;;37833;709955.67;1164471.50;2013-12-01T00:00:00
14694166;546101;ָםmלר;;;;;23884;Potoטnב;;;ט.p.;8;;;37833;709884.44;1164505.33;2013-12-01T00:00:00
14694174;546101;ָםmלר;;;;;23884;Potoטnב;;;ט.p.;10;;;37833;709845.07;1164439.63;2013-12-01T00:00:00
14694182;546101;ָםmלר;;;;;23884;Potoטnב;;;ט.p.;11;;;37833;709836.22;1164431.56;2013-12-01T00:00:00
14694191;546101;ָםmלר;;;;;23884;Potoטnב;;;ט.p.;12;;;37833;709780.68;1164370.98;2013-12-01T00:00:00
14694204;546101;ָםmלר;;;;;23884;Potoטnב;;;ט.p.;13;;;37833;709774.52;1164409.71;2013-12-01T00:00:00
