KÛd ADM;KÛd obce;N·zev obce;KÛd MOMC;N·zev MOMC;KÛd obvodu Prahy;N·zev obvodu Prahy;KÛd Ë·sti obce;N·zev Ë·sti obce;KÛd ulice;N·zev ulice;Typ SO;»Ìslo domovnÌ;»Ìslo orientaËnÌ;Znak ËÌsla orientaËnÌho;PS»;Sou¯adnice Y;Sou¯adnice X;PlatÌ Od
78881731;570826;Kosmonosy;;;;;402885;Kosmonosy;1767275;U Vodojemu;Ë.p.;1273;;;29306;702129.49;1008383.00;2018-11-20T00:00:00
78937809;570826;Kosmonosy;;;;;402885;Kosmonosy;290815;Deb¯sk·;Ë.p.;1305;;;29306;701877.84;1008867.33;2018-12-03T00:00:00
78965667;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;180;;;29301;699289.40;1008682.15;2018-12-13T00:00:00
79187129;570826;Kosmonosy;;;;;402885;Kosmonosy;290742;M·chova;Ë.p.;1307;;;29306;701587.70;1008712.40;2019-03-04T00:00:00
79275320;570826;Kosmonosy;;;;;402885;Kosmonosy;290785;Pod Oborou;Ë.p.;867;;;29306;702799.52;1008546.79;2019-04-03T00:00:00
79383823;570826;Kosmonosy;;;;;402885;Kosmonosy;1767275;U Vodojemu;Ë.p.;1295;;;29306;701995.17;1008350.15;2019-05-17T00:00:00
79430830;570826;Kosmonosy;;;;;402885;Kosmonosy;1767275;U Vodojemu;Ë.p.;1286;;;29306;702056.65;1008332.04;2019-06-06T00:00:00
79431429;570826;Kosmonosy;;;;;402885;Kosmonosy;1767275;U Vodojemu;Ë.p.;1284;;;29306;702067.27;1008328.19;2019-06-06T00:00:00
79431682;570826;Kosmonosy;;;;;402885;Kosmonosy;1767275;U Vodojemu;Ë.p.;1288;;;29306;702045.25;1008335.43;2019-06-06T00:00:00
79450571;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;177;;;29301;699324.32;1008142.92;2019-06-11T00:00:00
79477496;570826;Kosmonosy;;;;;402885;Kosmonosy;1767275;U Vodojemu;Ë.p.;1287;;;29306;702052.24;1008333.07;2019-06-17T00:00:00
79508286;570826;Kosmonosy;;;;;402885;Kosmonosy;677558;Duhov·;Ë.p.;1080;;;29306;702489.45;1009207.51;2019-07-01T00:00:00
79642837;570826;Kosmonosy;;;;;402885;Kosmonosy;2497573;Kr·tk·;Ë.p.;1309;;;29306;701427.80;1008415.61;2019-08-06T00:00:00
79654207;570826;Kosmonosy;;;;;402885;Kosmonosy;290858;Tesa¯sk·;Ë.p.;1308;;;29306;701362.84;1008386.76;2019-08-12T00:00:00
79830803;570826;Kosmonosy;;;;;402885;Kosmonosy;1767275;U Vodojemu;Ë.p.;1285;;;29306;702062.35;1008330.28;2019-08-28T00:00:00
79860150;570826;Kosmonosy;;;;;402885;Kosmonosy;;;Ë.ev.;730;;;29306;701333.37;1008596.22;2019-09-06T00:00:00
79910351;570826;Kosmonosy;;;;;402885;Kosmonosy;677515;JiûnÌ;Ë.p.;1306;;;29306;702354.49;1009060.07;2019-09-24T00:00:00
79980899;570826;Kosmonosy;;;;;402885;Kosmonosy;;;Ë.ev.;224;;;29306;703017.28;1008571.09;2019-10-22T00:00:00
80112625;570826;Kosmonosy;;;;;402885;Kosmonosy;290769;Pod koupaliötÏm;Ë.p.;1310;;;29306;702140.21;1008695.87;2019-11-27T00:00:00
80192947;570826;Kosmonosy;;;;;402885;Kosmonosy;;;Ë.ev.;629;;;29306;702888.88;1008206.67;2019-12-18T00:00:00
80266797;570826;Kosmonosy;;;;;402885;Kosmonosy;677515;JiûnÌ;Ë.p.;1041;;;29306;702453.77;1009099.64;2020-01-20T00:00:00
80369057;570826;Kosmonosy;;;;;402885;Kosmonosy;1767275;U Vodojemu;Ë.p.;1292;;;29306;702013.44;1008344.22;2020-02-17T00:00:00
80372058;570826;Kosmonosy;;;;;402885;Kosmonosy;1767275;U Vodojemu;Ë.p.;1290;;;29306;702025.11;1008340.14;2020-02-21T00:00:00
80392326;570826;Kosmonosy;;;;;402885;Kosmonosy;1767275;U Vodojemu;Ë.p.;1289;;;29306;702039.20;1008337.95;2020-02-17T00:00:00
81211988;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;178;;;29301;699128.72;1008271.18;2020-10-19T00:00:00
81270160;570826;Kosmonosy;;;;;402885;Kosmonosy;290611;Brat¯Ì Bub·k˘;Ë.p.;1312;;;29306;701968.99;1009105.62;2020-11-09T00:00:00
81359551;570826;Kosmonosy;;;;;402885;Kosmonosy;290858;Tesa¯sk·;Ë.p.;1313;;;29306;701458.79;1009029.78;2020-12-14T00:00:00
81379102;570826;Kosmonosy;;;;;402885;Kosmonosy;290637;Budovatelsk·;Ë.p.;1311;;;29306;701462.43;1008445.06;2020-12-17T00:00:00
81568177;570826;Kosmonosy;;;;;402885;Kosmonosy;771457;Na Svahu;Ë.p.;1114;;;29306;702196.82;1008582.06;2021-03-11T00:00:00
81770715;570826;Kosmonosy;;;;;402885;Kosmonosy;290581;Stakorsk·;Ë.p.;1314;;;29306;701338.57;1009199.33;2021-04-28T00:00:00
81817118;570826;Kosmonosy;;;;;402885;Kosmonosy;1767275;U Vodojemu;Ë.p.;1303;;;29306;702051.23;1008378.10;2021-05-17T00:00:00
81817746;570826;Kosmonosy;;;;;402885;Kosmonosy;1767275;U Vodojemu;Ë.p.;1302;;;29306;702044.83;1008379.63;2021-05-17T00:00:00
