Kуd ADM;Kуd obce;Nбzev obce;Kуd MOMC;Nбzev MOMC;Kуd obvodu Prahy;Nбzev obvodu Prahy;Kуd ибsti obce;Nбzev ибsti obce;Kуd ulice;Nбzev ulice;Typ SO;»нslo domovnн;»нslo orientaиnн;Znak инsla orientaиnнho;PS»;Souшadnice Y;Souшadnice X;Platн Od
7217421;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;149;;;54906;621767.45;1033680.82;2013-11-29T00:00:00
7217439;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;150;;;54906;621783.95;1033644.07;2013-11-29T00:00:00
7217447;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;151;;;54906;621713.73;1033630.73;2013-11-29T00:00:00
7217455;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;152;;;54906;621709.87;1033608.24;2013-11-29T00:00:00
7217463;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;153;;;54906;621724.23;1033608.03;2013-11-29T00:00:00
7217471;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;154;;;54906;621776.81;1033591.32;2013-11-29T00:00:00
7217480;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;155;;;54906;621864.77;1033604.53;2013-11-29T00:00:00
7217498;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;156;;;54906;621776.92;1033569.96;2013-11-29T00:00:00
7217501;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;157;;;54906;621772.57;1033532.97;2013-11-29T00:00:00
7217510;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;158;;;54906;621771.07;1033502.97;2013-11-29T00:00:00
7217528;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;159;;;54906;621716.66;1033493.37;2013-11-29T00:00:00
7217536;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;160;;;54906;621763.04;1033456.84;2013-11-29T00:00:00
7217544;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;161;;;54906;621712.66;1033465.12;2013-11-29T00:00:00
7217552;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;162;;;54906;621678.75;1033357.69;2013-11-29T00:00:00
7217561;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;163;;;54906;621663.68;1033371.94;2013-11-29T00:00:00
7217579;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;164;;;54906;621653.19;1033347.95;2013-11-29T00:00:00
7217587;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;165;;;54906;621636.08;1033319.58;2013-11-29T00:00:00
7217595;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;166;;;54906;621608.52;1033318.73;2013-11-29T00:00:00
7217609;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;167;;;54906;621659.91;1033287.68;2013-11-29T00:00:00
7217617;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;168;;;54906;621601.28;1033237.89;2013-11-29T00:00:00
7217625;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;169;;;54906;621630.62;1033216.89;2013-11-29T00:00:00
7217633;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;170;;;54906;621627.53;1033197.45;2013-11-29T00:00:00
7217641;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;171;;;54906;621623.16;1033158.82;2013-11-29T00:00:00
7217650;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;172;;;54906;621594.37;1033166.45;2013-11-29T00:00:00
7217668;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;173;;;54906;621586.46;1033120.90;2013-11-29T00:00:00
7217676;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;174;;;54906;621529.29;1033945.93;2013-11-29T00:00:00
7217684;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;175;;;54906;621672.43;1033092.33;2013-11-29T00:00:00
7217692;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;176;;;54906;621511.31;1033981.36;2013-11-29T00:00:00
7217706;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;177;;;54906;624115.27;1034121.48;2013-11-29T00:00:00
7217714;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;178;;;54906;620124.10;1034826.35;2013-11-29T00:00:00
7217722;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;179;;;54906;620100.20;1034588.00;2013-11-29T00:00:00
7217731;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;180;;;54906;621413.41;1032026.28;2013-11-29T00:00:00
7217749;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;181;;;54906;621629.94;1033174.72;2013-11-29T00:00:00
