Kуd ADM;Kуd obce;Nбzev obce;Kуd MOMC;Nбzev MOMC;Kуd obvodu Prahy;Nбzev obvodu Prahy;Kуd ибsti obce;Nбzev ибsti obce;Kуd ulice;Nбzev ulice;Typ SO;Инslo domovnн;Инslo orientaиnн;Znak инsla orientaиnнho;PSИ;Souшadnice Y;Souшadnice X;Platн Od
1945939;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;112;;;67962;603340.67;1116090.10;2013-12-03T00:00:00
1945947;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;113;;;67962;602763.30;1116365.81;2013-12-03T00:00:00
1945955;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;114;;;67962;602754.47;1116371.80;2014-01-28T00:00:00
1945963;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;115;;;67962;602757.82;1116431.93;2013-12-03T00:00:00
1945971;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;116;;;67962;603250.57;1116362.40;2013-12-03T00:00:00
1945980;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;117;;;67962;603192.04;1116317.22;2013-12-03T00:00:00
1945998;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;118;;;67962;602923.45;1116450.98;2013-12-03T00:00:00
1946005;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;119;;;67962;602928.78;1116294.94;2013-12-03T00:00:00
1946013;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;120;;;67962;603206.16;1116330.23;2013-12-03T00:00:00
1946021;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;121;;;67962;602881.13;1116272.88;2013-12-03T00:00:00
1946030;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;122;;;67962;602991.61;1116324.06;2016-06-20T00:00:00
1946048;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;123;;;67962;602610.34;1116417.91;2013-12-03T00:00:00
1946056;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;124;;;67962;602410.29;1116573.54;2013-12-03T00:00:00
1946064;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;125;;;67962;603081.70;1116116.66;2013-12-03T00:00:00
1946072;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;126;;;67962;603071.47;1116119.81;2013-12-03T00:00:00
1946081;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;127;;;67962;602556.27;1116552.67;2013-12-03T00:00:00
1946099;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;128;;;67962;603052.97;1116147.00;2013-12-03T00:00:00
1946102;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;129;;;67962;602805.20;1116511.02;2013-12-03T00:00:00
25635280;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;132;;;67962;602792.86;1116562.56;2013-12-03T00:00:00
25779842;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;131;;;67962;603040.08;1116155.44;2013-12-03T00:00:00
26209314;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;134;;;67962;603169.11;1116063.83;2013-12-03T00:00:00
26941376;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;130;;;67962;603350.96;1115964.95;2013-12-03T00:00:00
26941384;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.ev.;1;;;67962;602659.10;1116588.72;2013-12-03T00:00:00
27244253;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;133;;;67962;603229.32;1116233.80;2013-12-03T00:00:00
28012313;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;136;;;67962;602840.00;1116753.00;2013-12-03T00:00:00
28208994;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;140;;;67962;602831.14;1116591.99;2013-12-03T00:00:00
30751811;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;85;;;67962;603004.61;1116317.96;2013-12-03T00:00:00
30751829;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.ev.;2;;;67962;603196.86;1116256.95;2013-12-03T00:00:00
40534910;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;137;;;67962;602775.39;1116658.71;2013-12-03T00:00:00
40727181;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;141;;;67962;602861.78;1116811.47;2013-12-03T00:00:00
41759079;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;142;;;67962;602873.10;1116101.72;2013-12-03T00:00:00
